Semana,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,0,0,0,0,0
2004-01-11,0,0,0,0,0
2004-01-18,0,0,0,0,0
2004-01-25,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-02-08,0,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-22,0,0,0,0,0
2004-02-29,0,0,0,0,0
2004-03-07,0,0,0,0,0
2004-03-14,0,0,0,0,0
2004-03-21,0,0,0,0,0
2004-03-28,0,0,100,0,0
2004-04-04,0,0,0,0,0
2004-04-11,0,0,0,0,0
2004-04-18,0,0,0,0,0
2004-04-25,0,0,0,0,0
2004-05-02,0,0,0,0,0
2004-05-09,0,0,0,0,0
2004-05-16,0,0,44,0,0
2004-05-23,0,0,65,0,0
2004-05-30,0,0,87,0,0
2004-06-06,0,0,43,0,0
2004-06-13,0,0,43,0,0
2004-06-20,0,42,44,0,0
2004-06-27,0,47,45,0,0
2004-07-04,0,52,46,0,0
2004-07-11,0,56,47,0,0
2004-07-18,0,48,48,0,0
2004-07-25,0,46,50,0,0
2004-08-01,0,40,53,0,0
2004-08-08,0,40,55,0,0
2004-08-15,0,0,58,0,0
2004-08-22,0,0,54,0,0
2004-08-29,0,0,38,0,0
2004-09-05,0,0,43,0,0
2004-09-12,0,0,36,0,0
2004-09-19,0,0,36,0,0
2004-09-26,0,37,36,0,0
2004-10-03,0,0,36,0,0
2004-10-10,0,0,35,0,0
2004-10-17,0,0,35,0,0
2004-10-24,0,0,41,0,0
2004-10-31,0,0,35,0,0
2004-11-07,0,0,35,0,0
2004-11-14,0,0,35,0,0
2004-11-21,0,0,35,0,0
2004-11-28,0,0,35,0,0
2004-12-05,0,0,37,0,0
2004-12-12,0,0,38,0,0
2004-12-19,0,0,40,0,0
2004-12-26,0,0,42,0,0
2005-01-02,0,0,44,0,0
2005-01-09,0,0,0,0,0
2005-01-16,0,0,0,0,0
2005-01-23,0,36,0,0,0
2005-01-30,0,0,0,0,0
2005-02-06,0,0,0,0,0
2005-02-13,0,0,0,0,0
2005-02-20,0,0,0,0,0
2005-02-27,0,0,0,0,0
2005-03-06,0,0,0,0,0
2005-03-13,0,30,0,0,0
2005-03-20,0,32,32,0,0
2005-03-27,0,26,36,0,0
2005-04-03,0,28,40,0,0
2005-04-10,0,29,28,0,0
2005-04-17,0,30,31,0,0
2005-04-24,0,28,35,0,0
2005-05-01,0,28,38,0,0
2005-05-08,0,28,42,0,0
2005-05-15,0,0,26,0,0
2005-05-22,0,0,28,0,0
2005-05-29,0,0,26,0,0
2005-06-05,0,0,30,0,0
2005-06-12,0,0,34,0,0
2005-06-19,0,26,38,0,0
2005-06-26,0,26,47,0,0
2005-07-03,0,26,56,0,0
2005-07-10,0,27,0,0,0
2005-07-17,0,27,0,0,0
2005-07-24,0,27,0,0,0
2005-07-31,0,26,0,0,0
2005-08-07,0,24,0,0,0
2005-08-14,0,24,0,0,0
2005-08-21,0,25,0,0,0
2005-08-28,0,26,0,0,0
2005-09-04,0,26,26,0,0
2005-09-11,0,22,22,0,0
2005-09-18,0,22,22,0,0
2005-09-25,0,23,22,0,0
2005-10-02,0,23,22,0,0
2005-10-09,0,24,22,0,0
2005-10-16,0,43,22,0,0
2005-10-23,0,21,22,0,0
2005-10-30,0,29,22,0,0
2005-11-06,0,37,22,0,0
2005-11-13,0,45,23,0,0
2005-11-20,0,0,21,0,0
2005-11-27,0,0,21,0,0
2005-12-04,0,0,23,0,0
2005-12-11,0,0,25,0,0
2005-12-18,0,0,27,0,0
2005-12-25,0,32,24,0,0
2006-01-01,0,27,24,0,0
2006-01-08,0,25,24,0,0
2006-01-15,0,22,24,0,0
2006-01-22,0,22,34,0,0
2006-01-29,0,21,43,0,0
2006-02-05,0,21,19,0,0
2006-02-12,0,41,19,0,0
2006-02-19,0,23,19,0,0
2006-02-26,0,23,19,0,0
2006-03-05,0,18,19,0,0
2006-03-12,0,18,18,0,0
2006-03-19,0,18,17,0,0
2006-03-26,0,18,36,0,0
2006-04-02,0,18,18,0,0
2006-04-09,0,19,18,0,0
2006-04-16,0,18,18,0,0
2006-04-23,0,18,17,0,0
2006-04-30,0,18,18,0,0
2006-05-07,0,17,17,0,0
